"Year","Sector","Month","Sex","C_Length"
2013.00,"Sector_1",11,"F",123.64
2013.00,"Sector_1",11,"F",118.47
2013.00,"Sector_1",11,"F",115.53
2013.00,"Sector_1",11,"F",113.98
2013.00,"Sector_1",11,"F",108.75
2013.00,"Sector_1",11,"F",106.12
2013.00,"Sector_1",11,"F",104.24
2013.00,"Sector_1",11,"O",103.09
2013.00,"Sector_1",11,"F",111.27
2013.00,"Sector_1",11,"O",104.55
2013.00,"Sector_1",11,"O",93.22
2013.00,"Sector_1",11,"F",121.61
2013.00,"Sector_1",11,"F",111.05
2013.00,"Sector_1",11,"F",106.76
2013.00,"Sector_1",11,"O",102.68
2013.00,"Sector_1",11,"O",113.98
2013.00,"Sector_1",11,"F",98.73
2013.00,"Sector_1",11,"F",118.46
2013.00,"Sector_1",11,"F",107.56
2012.00,"Sector_1",10,"O",98.70
2012.00,"Sector_1",10,"F",115.53
2012.00,"Sector_1",10,"F",130.12
2012.00,"Sector_1",10,"F",127.55
2012.00,"Sector_1",10,"F",111.41
2012.00,"Sector_1",10,"F",112.56
2012.00,"Sector_1",10,"F",108.58
2012.00,"Sector_1",10,"F",115.30
2012.00,"Sector_1",10,"O",107.80
2012.00,"Sector_1",10,"O",106.20
2012.00,"Sector_1",10,"F",118.40
2012.00,"Sector_1",10,"O",105.80
2012.00,"Sector_1",10,"O",107.90
2012.00,"Sector_1",10,"F",86.70
2012.00,"Sector_1",10,"O",107.10
2012.00,"Sector_1",10,"O",109.50
2012.00,"Sector_1",10,"O",104.90
2012.00,"Sector_1",10,"O",108.00
2012.00,"Sector_1",10,"F",111.40
2012.00,"Sector_1",10,"F",113.20
2012.00,"Sector_1",10,"F",112.60
2012.00,"Sector_1",10,"O",104.80
2012.00,"Sector_1",10,"O",100.20
2012.00,"Sector_1",10,"O",107.40
2012.00,"Sector_1",10,"F",105.30
2012.00,"Sector_1",10,"O",110.40
2012.00,"Sector_1",10,"F",109.10
2012.00,"Sector_1",10,"F",168.90
2012.00,"Sector_1",10,"F",123.01
2012.00,"Sector_1",10,"F",119.17
2012.00,"Sector_1",10,"F",112.84
2012.00,"Sector_1",10,"F",118.36
2012.00,"Sector_1",10,"F",127.34
2012.00,"Sector_1",10,"F",110.39
2012.00,"Sector_1",10,"F",110.99
2012.00,"Sector_1",10,"F",100.10
2012.00,"Sector_1",10,"F",116.39
2012.00,"Sector_1",10,"F",109.71
2012.00,"Sector_1",10,"F",112.09
2012.00,"Sector_1",10,"O",110.80
2012.00,"Sector_1",10,"F",112.75
2012.00,"Sector_1",10,"O",101.69
2012.00,"Sector_1",10,"O",110.96
2012.00,"Sector_1",10,"F",103.59
2012.00,"Sector_1",10,"F",104.13
2012.00,"Sector_1",10,"O",99.64
2012.00,"Sector_1",10,"F",102.63
2012.00,"Sector_1",10,"F",99.21
2012.00,"Sector_1",10,"O",112.40
2012.00,"Sector_1",10,"F",96.00
2012.00,"Sector_1",10,"O",106.51
2012.00,"Sector_1",10,"F",113.55
2012.00,"Sector_1",10,"O",105.36
2012.00,"Sector_1",10,"F",90.47
2012.00,"Sector_1",10,"O",111.34
2012.00,"Sector_1",10,"O",96.66
2012.00,"Sector_1",10,"F",117.08
2012.00,"Sector_1",10,"F",127.93
2012.00,"Sector_1",10,"F",90.94
2012.00,"Sector_1",10,"F",107.19
2012.00,"Sector_1",10,"O",116.69
2012.00,"Sector_1",10,"O",109.98
2012.00,"Sector_1",10,"F",110.35
2012.00,"Sector_1",10,"O",108.92
2012.00,"Sector_1",10,"O",118.13
2012.00,"Sector_1",10,"F",110.32
2012.00,"Sector_1",10,"O",107.43
2012.00,"Sector_1",10,"O",102.64
2012.00,"Sector_1",10,"F",116.07
2012.00,"Sector_1",10,"O",106.96
2012.00,"Sector_1",10,"O",109.45
2012.00,"Sector_1",10,"O",106.94
2012.00,"Sector_1",10,"F",95.40
2012.00,"Sector_1",10,"O",97.65
2012.00,"Sector_1",10,"O",110.91
2012.00,"Sector_1",10,"F",112.45
2012.00,"Sector_1",10,"F",117.80
2012.00,"Sector_1",10,"O",110.15
2012.00,"Sector_1",10,"O",92.60
2012.00,"Sector_1",10,"O",101.15
2012.00,"Sector_1",10,"O",104.37
2012.00,"Sector_1",10,"O",115.87
2012.00,"Sector_1",10,"O",118.51
2012.00,"Sector_1",10,"O",107.03
2012.00,"Sector_1",10,"F",119.24
2012.00,"Sector_1",10,"F",115.07
2012.00,"Sector_1",10,"O",110.43
2012.00,"Sector_1",10,"O",119.42
2012.00,"Sector_1",10,"F",123.26
2012.00,"Sector_1",10,"F",118.97
2012.00,"Sector_1",10,"F",118.55
2012.00,"Sector_1",10,"O",118.14
2012.00,"Sector_1",10,"O",119.51
2012.00,"Sector_1",10,"F",109.42
2012.00,"Sector_1",10,"O",113.42
2012.00,"Sector_1",10,"F",117.45
2012.00,"Sector_1",10,"O",119.06
2012.00,"Sector_1",10,"O",111.68
2012.00,"Sector_1",10,"O",119.26
2012.00,"Sector_1",10,"O",117.56
2012.00,"Sector_1",10,"F",122.27
2012.00,"Sector_1",10,"O",114.74
2012.00,"Sector_1",10,"F",108.90
2012.00,"Sector_1",10,"F",116.18
2012.00,"Sector_1",10,"F",137.69
2012.00,"Sector_1",10,"F",125.28
2012.00,"Sector_1",10,"F",122.17
2012.00,"Sector_1",10,"O",124.78
2012.00,"Sector_1",10,"O",118.70
2012.00,"Sector_1",10,"O",116.46
2012.00,"Sector_1",10,"O",120.71
2012.00,"Sector_1",10,"O",118.80
2012.00,"Sector_1",10,"O",116.70
2012.00,"Sector_1",10,"F",125.98
2012.00,"Sector_1",10,"O",102.15
2012.00,"Sector_1",10,"F",102.56
2012.00,"Sector_1",10,"O",116.64
2012.00,"Sector_1",10,"O",106.45
2012.00,"Sector_1",10,"O",108.47
2012.00,"Sector_1",10,"F",133.56
2012.00,"Sector_1",10,"F",118.23
2012.00,"Sector_1",10,"F",115.21
2012.00,"Sector_1",10,"O",118.79
2012.00,"Sector_1",10,"O",116.84
2012.00,"Sector_1",10,"F",120.85
2012.00,"Sector_1",10,"O",110.70
2012.00,"Sector_1",10,"O",108.90
2012.00,"Sector_1",10,"F",89.97
2012.00,"Sector_1",10,"O",92.98
2012.00,"Sector_1",10,"F",96.31
2012.00,"Sector_1",10,"F",116.57
2012.00,"Sector_1",10,"F",109.26
2012.00,"Sector_1",10,"F",109.40
2012.00,"Sector_1",10,"F",109.35
2012.00,"Sector_1",10,"F",105.01
2012.00,"Sector_1",10,"F",102.70
2012.00,"Sector_1",10,"F",110.76
2012.00,"Sector_1",10,"F",112.76
2012.00,"Sector_1",10,"F",105.65
2012.00,"Sector_1",10,"F",107.85
2012.00,"Sector_1",10,"F",100.09
2012.00,"Sector_1",10,"F",102.56
2012.00,"Sector_1",10,"F",101.81
2012.00,"Sector_1",10,"F",111.17
2012.00,"Sector_1",10,"F",103.84
2012.00,"Sector_1",10,"F",111.60
2012.00,"Sector_1",10,"F",108.71
2012.00,"Sector_1",10,"F",113.36
2012.00,"Sector_1",10,"F",100.36
2012.00,"Sector_1",10,"F",111.27
2012.00,"Sector_1",10,"F",101.70
2012.00,"Sector_1",10,"F",97.64
2012.00,"Sector_1",10,"F",107.83
2012.00,"Sector_1",10,"F",100.39
2012.00,"Sector_1",10,"F",106.85
2012.00,"Sector_1",10,"F",109.76
2012.00,"Sector_1",10,"O",118.71
2012.00,"Sector_1",10,"O",110.84
2012.00,"Sector_1",10,"O",107.01
2012.00,"Sector_1",10,"O",124.69
2012.00,"Sector_1",10,"O",110.78
2012.00,"Sector_1",10,"O",110.84
2012.00,"Sector_1",10,"O",117.08
2012.00,"Sector_1",10,"F",109.19
2012.00,"Sector_1",10,"O",116.47
2012.00,"Sector_1",10,"O",119.18
2012.00,"Sector_1",10,"F",105.03
2012.00,"Sector_1",10,"F",132.57
2012.00,"Sector_1",10,"O",108.76
2012.00,"Sector_1",10,"O",109.88
2012.00,"Sector_1",10,"O",112.48
2012.00,"Sector_1",10,"O",116.79
2012.00,"Sector_1",10,"O",112.71
2012.00,"Sector_1",10,"F",94.80
2012.00,"Sector_1",10,"O",104.45
2012.00,"Sector_1",10,"F",107.19
2012.00,"Sector_1",11,"F",90.20
2012.00,"Sector_1",11,"F",115.20
2012.00,"Sector_1",11,"F",103.20
2012.00,"Sector_1",11,"O",105.60
2012.00,"Sector_1",11,"F",111.10
2012.00,"Sector_1",11,"F",83.00
2012.00,"Sector_1",11,"O",112.10
2012.00,"Sector_1",11,"F",101.10
2012.00,"Sector_1",11,"F",97.60
2012.00,"Sector_1",11,"O",103.70
2012.00,"Sector_1",11,"O",107.40
2012.00,"Sector_1",10,"O",114.50
2012.00,"Sector_1",10,"F",105.66
2012.00,"Sector_1",10,"O",100.32
2012.00,"Sector_1",10,"O",102.27
2012.00,"Sector_1",10,"O",97.61
2012.00,"Sector_1",10,"F",108.06
2012.00,"Sector_1",10,"O",114.40
2012.00,"Sector_1",10,"O",112.09
2012.00,"Sector_1",10,"O",106.68
2012.00,"Sector_1",10,"O",105.84
2012.00,"Sector_1",10,"F",101.72
2012.00,"Sector_1",10,"O",104.73
2012.00,"Sector_1",10,"O",107.71
2012.00,"Sector_1",10,"F",104.72
2012.00,"Sector_1",10,"O",103.22
2012.00,"Sector_1",10,"O",102.84
2012.00,"Sector_1",10,"O",102.46
2012.00,"Sector_1",10,"O",103.39
2012.00,"Sector_1",10,"O",102.29
2012.00,"Sector_1",10,"O",111.57
2012.00,"Sector_1",10,"F",122.08
2012.00,"Sector_1",10,"F",117.85
2012.00,"Sector_1",10,"O",115.45
2012.00,"Sector_1",10,"O",80.53
2012.00,"Sector_1",10,"F",111.80
2012.00,"Sector_1",10,"F",115.71
2012.00,"Sector_1",10,"F",131.24
2012.00,"Sector_1",10,"F",108.76
2012.00,"Sector_1",10,"F",121.86
2012.00,"Sector_1",10,"F",110.68
2012.00,"Sector_1",10,"F",112.74
2012.00,"Sector_1",10,"F",109.74
2012.00,"Sector_1",10,"F",109.83
2012.00,"Sector_1",10,"F",112.76
2012.00,"Sector_1",10,"F",106.87
2012.00,"Sector_1",10,"F",113.82
2012.00,"Sector_1",10,"F",109.83
2012.00,"Sector_1",10,"O",109.76
2012.00,"Sector_1",10,"O",100.66
2012.00,"Sector_1",10,"O",112.80
2012.00,"Sector_1",10,"O",103.51
2012.00,"Sector_1",10,"O",118.20
2012.00,"Sector_1",10,"F",113.89
2012.00,"Sector_1",10,"O",112.84
2012.00,"Sector_1",10,"O",115.09
2012.00,"Sector_1",10,"O",121.56
2012.00,"Sector_1",10,"F",106.51
2012.00,"Sector_1",10,"F",83.66
2012.00,"Sector_1",10,"O",109.97
2012.00,"Sector_1",10,"O",111.44
2012.00,"Sector_1",10,"O",111.51
2012.00,"Sector_1",10,"O",101.52
2012.00,"Sector_1",10,"O",115.37
2012.00,"Sector_1",10,"O",105.77
2012.00,"Sector_1",10,"O",105.02
2012.00,"Sector_1",10,"F",119.55
2012.00,"Sector_1",10,"O",103.50
2012.00,"Sector_1",10,"O",108.80
2012.00,"Sector_1",10,"O",123.91
2012.00,"Sector_1",10,"O",103.63
2012.00,"Sector_1",10,"F",114.21
2012.00,"Sector_1",10,"F",112.51
2012.00,"Sector_1",10,"O",134.48
2012.00,"Sector_1",10,"F",115.18
2012.00,"Sector_1",10,"O",116.39
2012.00,"Sector_1",10,"O",114.65
2012.00,"Sector_1",10,"O",110.35
2012.00,"Sector_1",10,"O",115.11
2012.00,"Sector_1",10,"F",116.34
